frame,time_sec,model_tag,class_id,class_name,confidence,x1,y1,x2,y2
42,1.400,coco_yolov8s,0,person,0.4187,925.6,566.0,1009.0,850.3
42,1.400,coco_yolov8s,0,person,0.3505,1562.9,0.9,1732.0,265.8
42,1.400,coco_yolov8s,0,person,0.3353,1611.9,203.4,1917.4,667.9
43,1.433,coco_yolov8s,0,person,0.4601,1561.0,7.2,1912.9,675.7
43,1.433,coco_yolov8s,0,person,0.2738,1239.3,271.4,1590.5,783.7
44,1.467,coco_yolov8s,0,person,0.4898,1529.8,24.9,1893.6,675.3
44,1.467,coco_yolov8s,0,person,0.2882,1385.9,284.1,1580.4,649.9
44,1.467,coco_yolov8s,0,person,0.2771,1225.2,280.8,1579.0,795.5
45,1.500,coco_yolov8s,0,person,0.6666,1478.6,29.1,1882.9,679.0
45,1.500,coco_yolov8s,0,person,0.2758,1190.7,542.4,1525.1,798.7
45,1.500,coco_yolov8s,0,person,0.2562,1372.4,282.3,1501.0,659.1
46,1.533,coco_yolov8s,0,person,0.5380,1455.1,29.9,1872.0,692.5
46,1.533,coco_yolov8s,0,person,0.4822,1364.4,276.2,1619.6,763.4
47,1.567,coco_yolov8s,0,person,0.4478,1453.5,32.7,1856.6,676.1
47,1.567,coco_yolov8s,0,person,0.2757,1352.7,280.4,1487.9,663.8
47,1.567,coco_yolov8s,0,person,0.2594,1337.3,278.2,1637.6,782.6
48,1.600,coco_yolov8s,0,person,0.8284,1398.9,32.0,1834.3,645.4
48,1.600,coco_yolov8s,0,person,0.3760,1332.9,289.6,1474.9,668.7
48,1.600,coco_yolov8s,0,person,0.3607,1374.0,280.7,1622.4,768.6
48,1.600,coco_yolov8s,0,person,0.2647,1230.4,544.6,1394.3,819.7
49,1.633,coco_yolov8s,0,person,0.8352,1390.6,32.0,1817.6,584.2
49,1.633,coco_yolov8s,0,person,0.3269,1295.2,319.4,1473.2,669.9
49,1.633,coco_yolov8s,0,person,0.3088,1254.3,301.1,1539.7,796.3
50,1.667,coco_yolov8s,0,person,0.7856,1383.8,32.9,1797.1,595.4
50,1.667,coco_yolov8s,0,person,0.4658,1270.8,334.2,1480.9,750.4
51,1.700,coco_yolov8s,0,person,0.7832,1378.9,35.8,1779.0,586.3
51,1.700,coco_yolov8s,0,person,0.3232,1265.1,311.8,1513.7,796.4
